,carat,cut,color,clarity,depth percentage,table,length,width,depth,price
39681,0.46,3,3,5,62.8,57.0,4.92,4.83,3.06,1087
12484,1.07,2,2,4,61.5,57.0,6.57,6.63,4.06,5254
39350,0.52,1,1,3,63.6,60.0,5.1,5.05,3.23,1073
4550,0.91,4,4,2,62.7,57.0,6.16,6.21,3.88,3642
1420,0.78,3,5,4,62.6,57.0,5.91,5.85,3.68,2970
4503,0.9,2,4,2,60.3,63.0,6.28,6.21,3.77,3630
45070,0.46,4,4,5,61.7,56.0,4.93,4.96,3.05,1643
15235,1.12,3,2,5,61.6,58.0,6.64,4.11,3.7,6115
42000,0.59,3,2,3,62.4,58.0,5.42,5.35,3.36,1265
11678,1.26,3,5,2,60.3,60.0,7.0,6.94,4.2,5058
42690,0.5,4,5,3,61.6,57.0,5.08,5.11,3.14,1337
193,0.7,3,5,3,60.0,59.0,5.79,5.75,3.46,2777
50580,0.71,2,6,2,61.8,63.0,5.73,5.67,3.52,2279
39565,0.64,1,5,2,56.6,59.0,5.77,5.74,3.26,1080
51308,0.31,3,5,3,62.6,60.0,4.31,4.35,2.71,544
4496,0.9,0,3,3,64.5,57.0,6.07,6.03,3.9,3629
42789,0.54,4,3,3,61.8,58.0,5.21,5.27,3.24,1350
1044,0.61,4,5,6,62.1,54.2,5.43,5.45,3.38,2907
39028,0.52,1,2,3,57.6,61.0,5.34,5.32,3.07,1056
985,0.77,2,3,4,58.3,63.0,6.0,6.05,3.51,2896
19369,0.4,1,6,2,63.8,54.0,4.7,4.73,3.01,622
29161,0.33,3,5,3,59.1,59.0,4.59,4.54,2.7,693
42980,0.41,4,5,7,61.3,56.0,4.79,4.81,2.94,1367
35329,0.4,4,5,5,62.1,55.0,4.75,4.79,2.96,898
43324,0.57,2,4,3,62.6,58.0,5.28,5.32,3.32,1403
36847,0.37,3,4,4,61.2,60.0,4.63,4.59,2.82,957
15132,1.25,4,0,6,61.1,57.0,6.94,6.91,4.23,6084
10779,0.9,2,5,4,62.7,56.0,6.13,6.21,3.87,4858
32479,0.35,4,4,6,61.9,54.0,4.55,4.59,2.83,795
34196,0.33,4,4,4,61.9,55.0,4.46,4.43,2.75,854
46649,0.3,1,2,5,63.3,57.0,4.22,4.25,2.68,526
41500,0.62,3,4,2,59.1,58.0,5.6,5.57,3.3,1234
49829,0.7,3,6,2,58.3,61.0,5.74,5.7,3.33,2167
17723,0.33,2,2,6,61.9,56.0,4.44,4.47,2.76,614
33260,0.42,3,6,4,61.3,58.0,4.8,4.83,2.95,825
52744,0.71,4,1,7,62.4,55.0,5.69,5.76,3.57,2559
35754,0.3,4,5,4,61.4,59.0,4.3,4.27,2.63,911
52360,0.8,2,2,2,63.4,58.0,5.87,5.84,3.71,2502
34040,0.46,4,1,3,61.9,55.0,4.97,4.98,3.08,850
49361,0.73,1,0,4,60.8,63.0,5.67,5.78,3.48,2098
50053,0.71,2,3,3,62.7,59.0,5.65,5.67,3.55,2201
38166,0.34,4,5,7,62.2,56.0,4.45,4.49,2.78,1014
36784,0.34,4,3,7,62.5,53.0,4.49,4.47,2.8,956
48742,0.57,1,6,4,58.3,61.0,5.42,5.45,3.17,2015
36937,0.23,2,5,7,60.2,59.0,3.97,4.01,2.4,478
39237,0.51,2,1,3,62.5,58.0,5.05,5.12,3.18,1068
28469,0.32,4,2,5,62.1,55.0,4.4,4.39,2.73,672
47252,0.52,3,6,4,62.4,58.0,5.13,5.09,3.19,1842
5615,0.72,4,5,6,62.0,56.0,5.74,5.77,3.57,3874
1275,0.99,0,0,3,58.0,67.0,6.57,6.5,3.79,2949
39525,0.4,3,1,7,59.5,59.0,4.79,4.76,2.84,1080
16808,1.05,1,2,8,64.3,58.0,6.5,6.35,4.13,6703
42414,0.52,2,3,3,61.7,57.0,5.13,5.16,3.17,1311
14087,1.27,2,2,2,60.6,59.0,6.97,7.0,4.23,5715
51742,0.71,2,4,3,61.9,57.0,5.72,5.79,3.56,2404
14419,1.2,3,2,3,59.3,60.0,7.0,6.92,4.13,5822
44343,0.56,2,3,4,62.5,57.0,5.25,5.28,3.29,1580
46684,0.7,4,1,3,61.3,57.0,5.72,5.75,3.52,1790
53865,0.7,2,4,4,61.7,60.0,5.63,5.65,3.48,2744
58,0.3,2,1,3,63.0,57.0,4.28,4.32,2.71,405
48611,0.51,4,4,6,62.2,55.0,5.12,5.11,3.18,1998
26683,0.33,4,5,2,62.2,54.0,4.44,4.46,2.77,427
21702,0.35,4,1,7,61.8,55.0,4.53,4.56,2.81,627
36305,0.32,4,2,7,61.9,56.0,4.41,4.38,2.72,936
15396,1.12,4,5,2,61.6,56.0,6.69,6.71,4.13,6168
47972,0.3,4,1,6,62.3,53.7,4.29,4.32,2.68,532
17193,1.24,4,2,3,62.3,54.0,6.88,6.9,4.29,6867
51731,0.71,0,2,5,66.4,62.0,5.54,5.49,3.66,2401
9328,1.27,3,0,4,62.2,58.0,6.88,6.84,4.27,4580
53446,0.72,4,4,2,60.8,56.0,5.82,5.79,3.53,2674
32428,0.4,4,3,4,62.4,54.0,4.74,4.75,2.96,792
4215,0.9,3,6,3,61.7,56.0,6.16,6.09,3.78,3568
12282,1.33,3,2,2,61.9,58.0,7.07,7.01,4.36,5214
36959,0.32,2,0,3,63.2,56.0,4.36,4.31,2.74,480
53182,0.71,1,5,3,65.9,57.0,5.51,5.57,3.65,2631
52785,0.7,4,3,3,61.9,58.0,5.66,5.69,3.51,2567
5210,0.9,3,6,2,59.8,61.0,6.21,6.17,3.7,3780
38924,0.51,3,3,2,60.8,59.0,5.2,5.19,3.16,1052
7041,1.02,2,4,2,59.9,62.0,6.5,6.53,3.9,4162
11902,1.15,3,1,4,62.6,56.0,6.74,6.67,4.2,5120
50602,0.92,0,2,2,66.1,57.0,6.22,6.0,4.05,2283
32284,0.31,4,0,6,62.2,54.0,4.36,4.39,2.72,453
6114,0.77,4,6,4,61.6,55.0,5.88,5.91,3.63,3980
21367,0.36,4,6,3,62.2,53.0,4.57,4.59,2.85,626
5488,0.9,3,3,4,59.0,58.0,6.29,6.25,3.7,3841
6685,0.97,4,3,2,62.7,57.0,6.31,6.28,3.95,4101
5914,0.92,1,6,2,59.0,58.0,6.31,6.36,3.74,3936
41094,0.51,1,6,3,63.4,59.0,5.07,5.02,3.2,1193
15602,1.09,4,6,3,62.8,54.0,6.6,6.62,4.15,6259
17866,1.32,4,1,4,60.8,57.0,7.07,7.02,4.28,7209
3100,0.71,4,6,4,62.1,56.0,5.71,5.75,3.56,3321
4699,0.9,4,0,8,62.2,57.0,6.17,6.14,3.83,3677
3672,0.9,2,1,4,61.4,58.0,6.16,6.26,3.81,3445
44016,0.51,3,3,4,62.9,58.0,5.11,5.06,3.2,1546
51862,0.73,2,1,4,62.8,59.0,5.72,5.75,3.6,2426
12231,1.01,1,2,3,59.5,62.0,6.49,6.55,3.88,5197
3174,0.9,3,1,4,61.2,62.0,6.19,6.13,3.77,3338
52782,0.7,2,2,4,61.8,58.0,5.64,5.68,3.5,2567
32115,0.32,4,2,8,61.9,54.2,4.38,4.42,2.72,783
7324,1.01,4,3,2,62.1,59.0,6.45,6.41,3.99,4209
11761,1.2,3,1,2,60.0,58.0,6.93,6.91,4.15,5080
46453,0.52,4,6,4,61.0,57.0,5.18,5.21,3.17,1774
37511,0.31,4,4,7,62.4,55.0,4.34,4.32,2.7,985
9984,1.0,4,2,4,62.5,58.0,6.38,6.33,3.97,4704
4066,0.31,1,6,3,63.4,55.0,4.28,4.3,2.72,571
48564,0.64,4,1,8,62.0,54.0,5.53,5.56,3.44,1991
39393,0.41,4,6,4,62.4,55.0,4.79,4.76,2.98,1076
39769,0.36,3,5,5,60.4,58.0,4.67,4.64,2.81,1094
44042,0.51,4,6,3,62.4,57.0,5.11,5.15,3.2,1548
45495,0.5,4,4,5,62.5,52.4,5.07,5.11,3.18,1679
2329,0.76,2,3,4,61.1,57.0,5.84,5.95,3.6,3170
7335,1.01,1,3,2,62.8,61.0,6.31,6.37,3.98,4210
41642,0.4,4,5,6,61.8,55.0,4.78,4.74,2.94,1238
34738,0.37,3,6,4,61.0,59.0,4.59,4.63,2.81,876
48070,0.56,4,2,7,60.0,56.0,5.37,5.4,3.23,1929
9368,0.32,4,6,3,62.7,54.0,4.37,4.4,2.75,589
8164,1.08,2,3,2,60.3,58.0,6.65,6.72,4.03,4362
915,0.71,3,4,5,62.7,58.0,5.71,5.67,3.57,2879
35621,0.3,3,1,5,61.6,60.0,4.27,4.3,2.64,473
30054,0.41,3,3,3,62.6,59.0,4.72,4.77,2.97,719
48771,0.57,3,6,4,60.8,59.0,5.38,5.34,3.26,2019
34129,0.32,4,6,6,59.9,59.0,4.45,4.46,2.67,854
51458,0.71,4,1,3,61.4,56.0,5.73,5.77,3.53,2376
11575,1.02,2,4,3,62.1,63.0,6.48,6.36,3.99,5038
47344,0.5,3,6,4,61.1,58.0,5.12,5.09,3.12,1845
34957,0.24,1,4,6,64.0,61.0,3.91,3.93,2.51,471
52012,0.85,3,3,2,62.0,58.0,6.08,6.04,3.76,2444
6453,0.93,3,2,4,61.0,60.0,6.29,6.26,3.82,4050
31898,0.3,3,3,5,61.7,56.0,4.33,4.29,2.66,776
8008,0.9,2,2,5,62.5,58.0,6.08,6.14,3.82,4328
1286,0.7,2,5,4,61.8,59.0,5.63,5.67,3.49,2952
28887,0.3,1,3,6,63.2,57.0,4.24,4.27,2.69,684
24694,0.3,2,3,6,60.4,60.0,4.3,4.34,2.61,638
33969,0.32,4,5,4,60.9,56.0,4.45,4.48,2.72,846
47088,0.73,3,2,2,60.5,57.0,5.84,5.76,3.51,1824
2115,0.7,4,4,3,61.9,55.0,5.7,5.74,3.54,3119
35472,0.33,3,3,6,61.5,62.0,4.43,4.39,2.71,901
28768,0.31,3,5,4,61.0,59.0,4.35,4.37,2.66,680
52542,0.72,2,1,6,61.7,55.0,5.76,5.81,3.57,2532
14571,1.01,3,5,4,59.5,60.0,6.3,6.24,3.73,5882
43235,0.57,4,4,2,61.0,56.0,5.37,5.32,3.26,1397
44630,0.57,3,5,3,61.4,58.0,5.28,5.34,3.26,1608
16497,1.11,2,3,4,62.2,55.0,6.61,6.67,4.13,6593
517,0.77,4,1,6,62.1,57.0,5.84,5.86,3.63,2824
27808,0.3,4,2,7,61.5,55.0,4.31,4.35,2.66,650
51444,0.77,3,1,4,60.3,58.0,5.96,5.94,3.59,2375
28033,0.3,4,5,4,61.7,55.0,4.3,4.32,2.66,658
46660,0.51,4,6,4,61.9,55.0,5.11,5.13,3.17,1787
17523,1.12,1,4,4,63.8,57.0,6.61,6.59,4.21,7051
8449,1.01,3,2,2,60.3,60.0,6.49,6.45,3.9,4412
26681,0.3,2,0,5,61.1,61.0,4.33,4.38,2.66,427
11638,1.01,1,3,3,58.4,61.0,6.51,6.61,3.83,5051
10825,1.01,2,4,3,60.8,59.0,6.49,6.53,3.96,4869
32340,0.3,2,3,7,62.1,56.0,4.29,4.31,2.67,789
38815,0.31,3,3,7,62.6,61.0,4.31,4.28,2.69,1046
43598,0.31,4,1,5,61.8,56.0,4.38,4.39,2.71,507
35028,0.4,1,5,3,63.7,57.0,4.69,4.66,2.98,882
1168,0.8,4,1,3,59.4,58.0,6.07,6.09,3.61,2927
8175,1.05,3,4,2,62.8,55.0,6.55,6.48,4.09,4363
44561,0.52,3,6,3,60.9,61.0,5.15,5.13,3.13,1605
39020,0.43,3,1,8,61.2,58.0,4.83,4.88,2.97,1056
53870,0.7,4,3,3,60.7,55.0,5.76,5.8,3.51,2744
46417,0.51,2,3,6,60.9,56.0,5.17,5.21,3.16,1768
6546,1.01,3,2,2,59.4,59.0,6.56,6.53,3.89,4072
46363,0.57,3,4,4,62.0,54.0,5.34,5.31,3.3,1760
16131,1.22,3,3,3,61.2,60.0,6.82,6.75,4.15,6449
4701,1.13,4,2,1,62.2,55.0,6.65,6.69,4.15,3678
50076,0.51,4,4,6,62.6,57.0,5.13,5.1,3.2,2203
52451,0.59,4,5,6,61.8,56.0,5.39,5.42,3.34,2515
27053,0.35,4,3,4,61.3,56.0,4.54,4.58,2.8,646
12415,1.06,3,4,3,61.0,58.0,6.65,6.6,4.04,5236
12047,0.34,2,5,3,59.0,60.0,4.56,4.62,2.71,596
12144,1.2,4,1,3,62.2,56.0,6.75,6.73,4.19,5174
28555,0.3,4,2,5,61.6,57.0,4.33,4.3,2.66,675
2680,0.77,2,6,3,59.9,59.0,5.9,5.95,3.55,3241
42189,0.5,3,4,3,62.7,61.0,5.07,5.01,3.16,1286
345,0.7,2,6,3,62.3,58.0,5.69,5.73,3.56,2804
13266,1.02,3,4,3,62.9,55.0,6.47,6.41,4.05,5484
28490,0.29,4,3,7,61.5,56.0,4.25,4.28,2.62,673
32027,0.38,4,3,4,61.2,55.0,4.69,4.72,2.88,778
306,0.7,3,5,5,62.2,58.0,5.6,5.66,3.5,2800
2035,0.79,4,5,3,62.1,54.0,5.92,5.96,3.69,3107
46261,0.54,4,5,4,61.4,57.0,5.21,5.25,3.21,1754
49914,0.5,1,5,6,58.9,61.0,5.18,5.2,3.06,2183
52835,0.71,2,3,4,63.1,54.0,5.64,5.7,3.58,2574
50702,0.53,4,4,6,61.3,55.0,5.23,5.27,3.22,2291
53433,0.7,2,4,3,62.5,59.0,5.66,5.54,3.5,2672
29649,0.35,3,4,4,61.9,58.0,4.48,4.54,2.79,706
14824,1.01,1,5,4,61.2,62.0,6.34,6.38,3.89,5972
41025,0.41,4,5,6,62.2,54.0,4.76,4.79,2.97,1187
15647,1.0,3,5,4,59.9,59.0,6.45,6.38,3.84,6272
45264,0.54,4,4,4,62.3,56.0,5.17,5.2,3.23,1662
36684,0.4,4,5,5,62.4,54.0,4.73,4.75,2.96,951
38038,0.39,3,4,5,62.0,56.0,4.72,4.64,2.9,1010
5572,1.14,3,0,2,60.4,59.0,6.8,6.74,4.09,3861
49367,0.7,4,5,2,62.9,56.0,5.66,5.6,3.54,2100
46892,0.56,4,4,4,61.6,55.0,5.32,5.29,3.27,1814
7862,1.11,2,5,2,62.3,58.0,6.64,6.68,4.15,4307
35090,0.3,4,4,8,62.1,57.0,4.29,4.31,2.67,886
17162,1.02,4,5,4,62.7,56.0,6.44,6.38,4.02,6854
42078,0.52,2,4,2,57.9,61.0,5.28,5.33,3.07,1273
11260,1.16,3,3,2,62.6,58.0,6.72,6.66,4.19,4969
38727,0.4,4,3,7,62.0,56.0,4.73,4.76,2.94,1043
29727,0.31,4,3,6,61.8,56.0,4.31,4.36,2.68,707
42808,0.53,4,2,4,62.5,54.0,5.17,5.2,3.24,1353
12115,1.05,3,2,4,62.3,57.0,6.49,6.45,4.03,5166
15126,1.32,2,0,4,62.1,57.0,7.01,7.04,4.36,6079
14653,1.2,4,1,4,62.1,57.0,6.78,6.71,4.19,5914
38476,0.42,4,6,4,62.2,55.0,4.75,4.8,2.97,1031
51933,0.63,4,6,5,61.6,55.0,5.52,5.55,3.41,2440
46273,0.43,4,6,7,61.9,54.0,4.83,4.87,3.0,1754
36687,0.39,3,5,4,61.4,58.0,4.73,4.68,2.89,951
15508,1.06,1,3,4,63.1,59.0,6.45,6.48,4.08,6212
1924,0.8,4,4,3,61.0,56.0,6.05,5.98,3.67,3082
9180,1.04,4,2,2,61.7,57.0,6.54,6.49,4.02,4543
28340,0.33,4,4,4,62.6,55.0,4.4,4.42,2.76,666
51657,0.3,4,3,4,62.0,54.0,4.33,4.35,2.69,545
50032,0.74,2,2,2,62.8,59.0,5.72,5.77,3.61,2198
30141,0.32,3,3,4,61.7,60.0,4.4,4.32,2.69,720
32094,0.33,4,5,5,62.6,57.0,4.4,4.42,2.76,781
37276,0.23,2,4,5,63.2,58.0,3.89,3.86,2.45,483
40775,0.42,2,5,6,59.8,56.0,4.9,4.92,2.94,1167
48986,0.36,4,2,3,62.3,53.0,4.57,4.61,2.86,538
49072,0.48,4,4,8,62.0,54.0,5.0,5.05,3.11,2059
52819,0.72,2,5,2,59.9,57.0,5.85,5.9,3.52,2573
12770,1.08,4,4,3,62.7,57.0,6.52,6.49,4.08,5327
4565,1.16,1,3,2,63.7,57.0,6.59,6.56,4.19,3644
20022,0.32,4,3,2,62.5,57.0,4.35,4.38,2.73,421
40245,0.37,4,6,4,61.0,56.0,4.7,4.65,2.85,1124
37161,0.32,4,6,4,62.1,56.0,4.43,4.39,2.74,972
32855,0.4,1,3,4,63.5,56.0,4.68,4.7,2.98,807
37258,0.31,3,2,8,60.4,58.0,4.43,4.41,2.67,977
40704,0.4,4,5,6,61.8,55.0,4.74,4.78,2.94,1158
44045,0.45,1,4,7,63.8,58.0,4.85,4.78,3.07,1548
39408,0.41,3,4,5,60.7,56.0,4.82,4.77,2.91,1076
32202,0.35,3,5,3,61.1,59.0,4.56,4.5,2.77,788
34127,0.42,2,3,4,62.1,55.0,4.8,4.83,2.99,854
15820,1.0,3,4,4,62.2,59.0,6.37,6.29,3.94,6328
29058,0.4,1,5,3,63.2,56.0,4.65,4.69,2.95,687
51360,0.72,0,6,3,65.6,60.0,5.62,5.54,3.66,2364
43094,0.61,3,2,3,59.5,62.0,5.55,5.51,3.29,1382
37089,0.41,3,5,3,62.4,58.0,4.77,4.75,2.97,969
14338,1.0,2,3,4,63.4,57.0,6.31,6.27,3.99,5806
9301,1.0,1,5,3,63.9,57.0,6.31,6.34,4.04,4573
15717,0.36,3,3,2,61.9,56.0,4.59,4.55,2.83,608
47362,0.54,4,2,7,61.1,57.0,5.22,5.26,3.2,1846
48833,0.72,3,4,3,59.3,60.0,5.91,5.86,3.49,2030
9426,1.28,3,2,2,62.4,56.0,6.97,6.89,4.34,4588
8581,0.91,2,4,3,60.4,59.0,6.22,6.26,3.77,4437
44448,0.52,4,4,4,61.7,56.0,5.16,5.18,3.19,1591
4244,0.84,1,5,3,61.9,61.0,6.03,6.05,3.74,3577
28571,0.3,2,2,5,63.2,56.0,4.29,4.25,2.7,675
33053,0.3,4,4,7,61.5,58.0,4.3,4.32,2.65,814
42003,0.58,2,5,2,63.5,60.0,5.24,5.28,3.34,1265
46624,0.3,3,2,5,62.2,60.0,4.23,4.29,2.65,526
2566,0.91,1,0,5,64.2,60.0,6.01,5.95,3.84,3210
38539,0.34,4,6,4,62.3,55.0,4.48,4.45,2.78,1033
40301,0.4,3,3,5,61.3,60.0,4.71,4.66,2.87,1125
15588,1.39,4,0,4,60.3,57.0,7.24,7.26,4.37,6252
3457,0.88,3,6,2,60.9,61.0,6.16,6.13,3.74,3390
3659,0.77,4,6,4,61.3,56.0,5.87,5.9,3.61,3442
16175,0.9,2,5,6,62.0,55.0,6.08,6.17,3.8,6466
46853,0.51,1,5,4,57.6,62.0,5.33,5.3,3.06,1812
14227,1.0,1,3,4,59.3,61.0,6.51,6.57,3.88,5766
35690,0.39,4,5,4,61.3,56.0,4.71,4.75,2.9,911
4365,1.01,2,6,2,59.1,63.0,6.54,6.59,3.88,3605
9060,0.9,3,1,8,62.6,59.0,6.15,6.12,3.84,4516
65,0.28,4,3,6,61.4,56.0,4.19,4.22,2.58,553
46390,0.7,3,0,6,60.6,58.0,5.73,5.82,3.5,1764
35959,0.33,2,2,3,63.0,57.0,4.39,4.41,2.77,475
11025,1.1,4,2,3,60.2,56.0,6.82,6.74,4.08,4916
39981,0.41,3,1,7,61.5,59.0,4.81,4.75,2.94,1107
31341,0.43,2,6,3,62.9,56.0,4.78,4.83,3.02,760
11077,0.9,2,4,4,62.3,58.0,6.14,6.16,3.83,4924
50281,0.3,2,2,5,61.9,55.0,4.32,4.37,2.69,541
8645,1.06,3,4,2,62.4,58.0,6.54,6.5,4.07,4452
36007,0.31,4,4,8,61.2,56.0,4.37,4.42,2.69,921
3915,0.72,4,4,4,61.3,55.0,5.78,5.83,3.56,3495
40913,0.42,4,3,7,61.4,56.0,4.81,4.83,2.96,1179
45704,0.56,4,1,7,62.0,57.0,5.33,5.29,3.29,1698
34781,0.4,3,2,6,60.9,58.0,4.74,4.79,2.9,877
35631,0.3,2,1,5,58.8,61.0,4.38,4.43,2.59,473
13689,1.01,4,5,3,62.1,54.0,6.5,6.41,4.01,5599
50714,0.53,4,3,8,60.3,56.0,5.29,5.33,3.2,2293
7786,1.01,1,5,2,61.4,64.0,6.29,6.42,3.9,4285
133,0.7,2,5,4,62.6,60.0,5.62,5.65,3.53,2765
3754,1.02,2,5,1,60.4,62.0,6.47,6.52,3.92,3455
9468,1.07,4,0,4,61.6,56.3,6.55,6.59,4.04,4602
30154,0.45,3,0,2,60.9,57.0,4.95,4.9,3.05,720
32398,0.31,4,5,6,62.0,54.0,4.38,4.4,2.72,791
15587,1.5,0,2,2,64.6,59.0,7.2,7.11,4.62,6250
5807,0.9,2,3,4,59.0,58.0,6.25,6.29,3.7,3910
13345,1.02,4,2,3,59.8,58.0,6.56,6.58,3.93,5505
46496,0.5,2,4,6,60.4,61.0,5.12,5.14,3.1,1778
2451,0.85,4,5,2,62.8,57.0,6.06,6.01,3.79,3189
36069,0.4,2,6,3,63.1,57.0,4.73,4.69,2.97,924
9999,1.0,0,6,3,64.9,59.0,6.2,6.13,4.0,4704
33162,0.31,4,3,7,60.7,57.0,4.37,4.4,2.66,816
45458,0.5,3,5,5,62.2,58.0,5.03,5.06,3.14,1675
1512,0.81,3,6,2,61.7,58.0,5.97,5.93,3.67,2994
53461,0.72,4,1,7,61.3,57.0,5.77,5.75,3.53,2678
33941,0.29,4,2,5,62.4,54.0,4.23,4.26,2.65,464
12259,1.26,3,1,2,60.1,59.0,7.03,6.99,4.21,5207
33721,0.42,3,5,2,60.1,58.0,4.91,4.87,2.94,838
17966,1.23,4,2,4,62.2,55.0,6.85,6.81,4.25,7260
8225,1.0,4,4,2,61.2,57.0,6.39,6.48,3.94,4372
13771,1.05,2,2,4,63.3,56.0,6.48,6.41,4.08,5614
4429,0.91,2,3,2,62.9,54.0,6.14,6.22,3.89,3615
7749,1.03,4,4,2,61.9,56.0,6.47,6.43,3.99,4280
30428,0.32,4,3,6,61.5,57.0,4.39,4.43,2.71,730
48615,0.75,3,0,5,61.6,57.0,5.88,5.84,3.61,1998
28189,0.4,2,2,3,62.8,59.0,4.67,4.69,2.94,666
45011,0.62,4,4,3,62.7,54.0,5.47,5.53,3.45,1637
8502,1.04,4,1,3,61.4,55.0,6.5,6.59,4.02,4423
5631,0.9,2,2,4,62.8,58.0,6.13,6.17,3.86,3878
31785,0.42,4,5,3,61.5,55.0,4.82,4.9,2.99,773
53627,0.3,2,6,3,61.3,60.0,4.26,4.32,2.63,552
15740,1.0,2,3,4,60.8,55.0,6.46,6.49,3.94,6296
41638,0.32,3,0,4,61.9,59.0,4.38,4.35,2.7,504
1955,0.7,1,6,4,64.1,59.0,5.49,5.56,3.54,3087
11874,1.5,1,0,2,63.7,58.0,7.19,7.13,4.56,5107
16797,1.01,3,5,4,60.4,57.0,6.49,6.45,3.91,6697
2186,0.8,4,4,3,61.0,56.0,5.98,6.05,3.67,3137
32267,0.3,4,5,6,61.7,55.0,4.28,4.31,2.65,789
13896,1.01,2,6,2,62.0,57.0,6.41,6.46,3.99,5656
43300,0.58,4,4,3,62.3,54.0,5.36,5.39,3.35,1401
27807,0.23,4,4,6,61.6,54.0,3.97,3.99,2.45,650
44797,0.5,3,3,5,59.8,58.0,5.15,5.19,3.09,1624
40979,0.41,3,6,6,62.2,58.0,4.8,4.78,2.98,1181
42146,0.51,3,3,3,60.9,58.0,5.21,5.14,3.15,1281
32037,0.3,4,5,6,62.2,54.4,4.3,4.32,2.68,779
13367,0.24,2,4,5,63.0,59.0,3.93,3.97,2.49,419
51257,0.54,4,4,7,60.5,55.0,5.31,5.33,3.22,2356
43363,0.52,2,3,4,61.9,59.0,5.12,5.16,3.18,1408
43021,0.59,4,1,4,61.8,56.0,5.39,5.42,3.34,1371
30661,0.4,4,5,3,61.8,56.0,4.71,4.74,2.92,737
8839,1.01,1,5,2,63.2,59.0,6.34,6.38,4.02,4479
45999,0.7,3,1,2,62.1,60.0,5.65,5.62,3.5,1724
1885,0.72,2,6,4,61.8,58.0,5.73,5.76,3.55,3075
52313,0.3,4,4,3,60.9,55.0,4.34,4.38,2.66,550
36351,0.4,3,2,5,62.7,59.0,4.71,4.63,2.93,938
12293,1.21,3,2,2,61.9,55.0,6.84,6.79,4.22,5218
39823,0.57,3,1,2,62.1,57.0,5.33,5.29,3.3,1097
41237,0.33,3,5,8,60.8,58.0,4.49,4.46,2.72,1207
15936,1.05,2,6,4,62.9,57.0,6.39,6.51,4.06,6373
32440,0.43,2,4,3,62.9,59.0,4.79,4.84,3.03,792
16123,1.5,3,2,2,61.8,57.0,7.34,7.31,4.53,6443
35353,0.42,4,5,2,62.9,56.0,4.8,4.77,3.01,898
40361,0.43,4,6,4,61.8,56.0,4.83,4.81,2.98,1129
44019,0.51,3,5,3,61.3,54.0,5.18,5.13,3.16,1546
18257,1.04,4,3,4,60.7,56.0,6.59,6.54,3.99,7415
34556,0.4,3,3,3,59.4,60.0,4.85,4.82,2.87,870
31965,0.26,2,5,4,60.4,58.0,4.15,4.19,2.52,452
43365,0.52,2,6,3,60.5,61.0,5.19,5.23,3.15,1408
36851,0.37,3,4,4,61.9,59.0,4.61,4.57,2.84,957
30292,0.3,1,6,2,63.3,57.0,4.26,4.3,2.71,447
1105,0.71,3,6,3,59.7,59.0,5.8,5.82,3.47,2913
53104,0.57,4,5,6,62.3,54.0,5.3,5.35,3.32,2615
17589,1.2,2,1,7,62.6,56.0,6.7,6.74,4.21,7080
5125,0.7,4,3,7,61.6,57.0,5.69,5.73,3.52,3763
34748,0.41,4,2,3,62.4,56.0,4.78,4.74,2.97,876
43585,0.59,1,6,3,63.8,57.0,5.31,5.26,3.37,1431
45834,0.5,1,5,5,61.0,61.0,5.07,5.12,3.11,1714
9560,1.06,4,2,2,60.6,55.0,6.62,6.65,4.02,4622
37704,0.4,2,6,5,64.0,57.0,4.66,4.69,2.99,995
4778,1.03,4,2,2,60.5,57.0,6.58,6.52,3.96,3692
33617,0.31,3,3,3,61.4,58.0,4.31,4.35,2.66,462
50589,0.7,2,3,4,58.2,60.0,5.84,5.78,3.38,2282
30022,0.36,4,5,4,61.3,56.0,4.59,4.61,2.82,718
47701,0.61,2,5,4,60.1,60.0,5.5,5.54,3.32,1884
1184,0.71,4,3,7,61.7,57.0,5.75,5.7,3.53,2930
42479,0.43,4,3,8,62.4,54.0,4.84,4.87,3.03,1318
42508,0.5,4,1,6,61.8,57.0,5.09,5.11,3.15,1322
51148,0.71,2,5,2,58.4,63.0,5.85,5.8,3.4,2343
52190,0.77,4,2,4,62.4,56.0,5.89,5.85,3.66,2479
45100,0.5,4,2,7,62.5,53.0,5.09,5.12,3.19,1648
29195,0.33,3,1,8,62.1,58.0,4.39,4.43,2.74,694
30326,0.36,4,4,4,60.9,57.0,4.58,4.61,2.8,726
17437,1.0,4,5,4,61.5,55.0,6.47,6.44,3.97,6989
18141,1.21,4,4,3,61.2,59.0,6.8,6.85,4.18,7349
33763,0.4,2,3,3,63.3,58.0,4.69,4.66,2.96,840
51705,0.7,2,4,4,58.9,57.0,5.79,5.85,3.43,2400
9427,0.91,2,3,5,60.9,54.0,6.27,6.38,3.85,4590
29181,0.3,4,4,6,61.5,58.0,4.3,4.35,2.66,694
36853,0.37,3,4,4,61.9,58.0,4.6,4.54,2.83,957
6330,0.71,4,5,6,61.2,57.0,5.73,5.8,3.53,4030
37020,0.33,3,3,6,61.2,57.0,4.44,4.42,2.71,965
52224,0.75,3,2,4,60.8,57.0,5.9,5.87,3.58,2484
9545,1.0,1,5,2,63.5,56.0,6.31,6.38,4.03,4620
52228,0.8,3,3,2,59.7,62.0,6.02,5.98,3.58,2484
48137,0.7,2,4,2,60.9,58.0,5.7,5.77,3.49,1940
